date,Num
20140529_00:00,0
20140529_00:01,0
20140529_00:02,0
20140529_00:03,0
20140529_00:04,0
20140529_00:05,0
20140529_00:06,0
20140529_00:07,0
20140529_00:08,0
20140529_00:09,0
20140529_00:10,0
20140529_00:11,0
20140529_00:12,0
20140529_00:13,0
20140529_00:14,0
20140529_00:15,0
20140529_00:16,0
20140529_00:17,0
20140529_00:18,0
20140529_00:19,0
20140529_00:20,0
20140529_00:21,0
20140529_00:22,0
20140529_00:23,0
20140529_00:24,0
20140529_00:25,0
20140529_00:26,0
20140529_00:27,0
20140529_00:28,0
20140529_00:29,0
20140529_00:30,20
20140529_00:31,23
20140529_00:32,31
20140529_00:33,4
20140529_00:34,0
20140529_00:35,0
20140529_00:36,0
20140529_00:37,0
20140529_00:38,0
20140529_00:39,0
20140529_00:40,0
20140529_00:41,0
20140529_00:42,0
20140529_00:43,0
20140529_00:44,0
20140529_00:45,0
20140529_00:46,0
20140529_00:47,0
20140529_00:48,0
20140529_00:49,0
20140529_00:50,0
20140529_00:51,0
20140529_00:52,0
20140529_00:53,0
20140529_00:54,0
20140529_00:55,0
20140529_00:56,0
20140529_00:57,0
20140529_00:58,0
20140529_00:59,0
20140529_01:00,0
20140529_01:01,0
20140529_01:02,0
20140529_01:03,0
20140529_01:04,0
20140529_01:05,0
20140529_01:06,0
20140529_01:07,0
20140529_01:08,0
20140529_01:09,0
20140529_01:10,0
20140529_01:11,0
20140529_01:12,0
20140529_01:13,0
20140529_01:14,0
20140529_01:15,0
20140529_01:16,0
20140529_01:17,0
20140529_01:18,0
20140529_01:19,0
20140529_01:20,0
20140529_01:21,0
20140529_01:22,0
20140529_01:23,0
20140529_01:24,0
20140529_01:25,0
20140529_01:26,0
20140529_01:27,0
20140529_01:28,0
20140529_01:29,0
20140529_01:30,0
20140529_01:31,0
20140529_01:32,0
20140529_01:33,0
20140529_01:34,0
20140529_01:35,0
20140529_01:36,0
20140529_01:37,0
20140529_01:38,0
20140529_01:39,0
20140529_01:40,0
20140529_01:41,0
20140529_01:42,0
20140529_01:43,0
