date,Num
20140613_00:00,25005
20140613_00:01,29504
20140613_00:02,27027
20140613_00:03,24395
20140613_00:04,23423
20140613_00:05,21710
20140613_00:06,27387
20140613_00:07,23363
20140613_00:08,23085
20140613_00:09,23993
20140613_00:10,23717
20140613_00:11,24438
20140613_00:12,22959
20140613_00:13,22694
20140613_00:14,23034
20140613_00:15,23337
20140613_00:16,23179
20140613_00:17,22217
20140613_00:18,23587
20140613_00:19,23620
20140613_00:20,23480
20140613_00:21,24600
20140613_00:22,22877
20140613_00:23,22802
20140613_00:24,22507
20140613_00:25,22591
20140613_00:26,21915
20140613_00:27,23029
20140613_00:28,22882
20140613_00:29,22592
20140613_00:30,21198
20140613_00:31,34487
20140613_00:32,22719
20140613_00:33,22249
20140613_00:34,22354
20140613_00:35,23259
20140613_00:36,24231
20140613_00:37,22687
20140613_00:38,22586
20140613_00:39,22507
20140613_00:40,22907
20140613_00:41,23293
20140613_00:42,22335
20140613_00:43,22091
20140613_00:44,22225
20140613_00:45,22071
20140613_00:46,23802
20140613_00:47,21588
20140613_00:48,22406
20140613_00:49,22081
20140613_00:50,23343
20140613_00:51,22766
20140613_00:52,21714
20140613_00:53,22375
20140613_00:54,22124
20140613_00:55,21110
20140613_00:56,23201
20140613_00:57,21318
20140613_00:58,21900
20140613_00:59,21937
20140613_01:00,22780
20140613_01:01,25503
20140613_01:02,22942
20140613_01:03,21317
20140613_01:04,21421
20140613_01:05,20702
20140613_01:06,22004
20140613_01:07,22316
20140613_01:08,22319
20140613_01:09,21315
20140613_01:10,22219
20140613_01:11,21781
20140613_01:12,21033
20140613_01:13,21397
20140613_01:14,21426
20140613_01:15,21633
20140613_01:16,21110
20140613_01:17,20640
20140613_01:18,20977
20140613_01:19,20782
20140613_01:20,21415
20140613_01:21,21996
20140613_01:22,20757
20140613_01:23,20995
20140613_01:24,20770
20140613_01:25,21219
20140613_01:26,20879
20140613_01:27,20794
20140613_01:28,21076
20140613_01:29,20820
20140613_01:30,22265
20140613_01:31,26108
20140613_01:32,21262
20140613_01:33,20770
20140613_01:34,20989
20140613_01:35,20717
20140613_01:36,21675
20140613_01:37,20449
20140613_01:38,20987
20140613_01:39,20547
20140613_01:40,21242
20140613_01:41,21351
20140613_01:42,20734
20140613_01:43,20634
20140613_01:44,20808
20140613_01:45,20745
20140613_01:46,20957
20140613_01:47,20645
20140613_01:48,20691
20140613_01:49,20401
