req,Num
POST /online/charm,7683577
GET /user/space,392812
GET /notify/unread,585840
GET /accountInfo/find_users,310615
GET /present/account_presents,13779
GET /content/view,187337
GET /chatRoom/list,14573
GET /content/dovebox/list,9424
GET /music/list,101916
POST /comment/reply,1823
GET /rec/list,90783
GET /user/money,5597
GET /accountInfo/get_role_list,62331
POST /present/give,13124
GET /accountInfo/charm_inc_ranks,971
POST /comment/like,19030
POST /rec/apply,476
GET /user/profile,12075
POST /accountInfo/save_info,7347
POST /accountManager/login,10133
GET /present/check_presents,2081
POST /friend/handle,1205
GET http://api.nyx.l99.com/notify/unread,3656
GET /cs/list,6423
GET /friend/get,8814
POST /user/setting,9275
GET /accountInfo/get,1673
GET /rec/types,3580
GET /inner/manage/content/list,739
POST /comment/send,5106
POST /content/dovebox/post,2155
GET /present/list,15222
GET /friend/getOnlineFriends,1800
POST /content/share/charm,2367
POST /file/upload,1012
GET /present/logs,9056
POST /user/uploadavatar,3233
POST /cs/sendMessage,631
POST /cs/sendblock,66
GET /user/longbi_log,1099
GET /friend/requests,78
GET /inner/manage/user/search_user,26
POST /inner/manage/user/change_avatar,25
GET /inner/manage/user/get_users,40
GET /orga/list,15
GET /present/view,127
POST /inner/manage/content/block,89
POST /content/hotspot,31
GET /accountInfo/charm_list,86
GET /comment/like,2
GET /,9
GET /online/charm,7
POST /file/uploadFile,2
POST /inner/manage/user/block,133
POST /friend/add,14
GET /accountManager/login,3
POST /inner/rec/info,10
POST /inner/rec/confirm_apply,3
GET /accountinfo/get_role_list,2
GET /content/share/charm,1
POST /accountManager/get_login_confirm,4
GET /blacklist/get,1
POST /inner/rec/recommend_user,5
POST /inner/robot/account/list,1
GET /inner/robot/list,6
GET /inner/robot/view,2
GET /accountInfo/save_info,1
GET /present/give,1
