ip,Num
202.112.20.191,51595
113.116.56.75,28774
66.249.79.62,26866
66.249.79.94,26588
66.249.79.30,26362
124.202.212.150,23904
219.140.82.85,22821
210.14.140.203,20937
123.125.225.38,11735
66.249.73.212,10940
222.223.194.61,9312
27.159.199.157,8825
113.91.163.106,8321
222.141.100.44,7248
111.75.214.153,7105
222.223.151.5,6418
66.249.73.215,6365
58.221.148.243,6124
101.224.1.247,5723
113.224.110.109,5654
121.22.116.238,5529
180.166.118.122,5401
218.206.244.14,4454
60.10.69.82,4382
66.249.73.210,4310
123.139.114.11,4207
66.249.73.213,3687
123.245.129.68,3662
183.12.149.6,3597
59.172.148.150,3503
58.212.1.57,3499
222.141.100.24,3404
66.249.73.216,3194
219.147.28.58,2980
218.29.143.204,2806
180.173.90.168,2796
110.76.41.130,2751
66.249.73.211,2666
180.110.146.106,2473
60.29.40.29,2346
110.76.41.114,2243
202.104.113.106,2232
113.232.55.73,2187
61.55.3.243,2165
1.58.33.243,2155
27.212.196.154,2056
1.58.184.118,2014
61.178.243.254,2005
219.148.37.185,1994
199.30.20.5,1940
118.253.124.189,1936
58.45.28.180,1867
111.206.170.133,1854
117.40.152.32,1825
111.206.170.132,1759
116.25.100.17,1757
221.204.162.202,1757
117.62.225.78,1682
218.94.150.37,1659
111.206.170.134,1651
66.249.73.209,1623
59.40.100.48,1615
199.30.20.22,1505
66.249.73.214,1503
199.30.20.8,1451
114.221.189.218,1426
1.83.10.135,1408
199.30.20.9,1406
94.183.70.207,1398
123.249.27.144,1390
61.135.189.189,1373
60.171.182.27,1373
111.206.170.135,1366
58.46.193.47,1358
218.30.103.55,1350
218.30.103.217,1343
218.30.103.57,1337
218.30.103.48,1336
218.30.103.62,1336
106.120.173.147,1336
218.30.103.34,1335
61.135.189.174,1335
218.30.103.49,1334
61.135.189.179,1333
61.135.189.172,1329
218.30.103.67,1326
61.135.189.166,1326
61.135.189.185,1325
61.135.189.175,1325
1.83.19.123,1324
220.181.125.129,1324
106.120.173.141,1324
218.30.103.45,1321
199.30.20.11,1321
106.120.173.126,1320
220.181.124.81,1319
220.181.125.195,1318
61.135.189.173,1317
61.135.189.184,1316
220.181.125.198,1316
218.30.103.59,1314
218.30.103.42,1313
220.181.125.135,1313
220.181.125.200,1311
218.30.103.56,1311
220.181.125.157,1310
106.120.173.153,1310
61.135.189.164,1309
220.181.125.16,1309
106.120.173.93,1308
106.120.173.114,1308
106.120.173.105,1308
218.30.103.46,1307
61.135.189.192,1307
106.120.173.87,1307
106.120.173.81,1307
106.120.173.150,1306
61.135.189.167,1305
106.120.173.108,1305
106.120.173.99,1304
220.181.125.196,1304
218.30.103.219,1303
61.135.189.182,1303
218.30.103.50,1303
61.135.189.186,1302
220.181.125.138,1302
220.181.125.130,1300
218.30.103.52,1300
60.216.98.93,1299
218.30.103.54,1298
106.120.173.120,1297
106.120.173.69,1297
220.181.125.14,1297
218.30.103.40,1295
220.181.125.202,1295
61.135.189.180,1295
106.120.173.111,1295
61.135.189.169,1295
106.120.173.66,1294
218.30.103.19,1294
106.120.173.135,1294
106.120.173.84,1293
106.120.173.102,1293
61.135.189.176,1293
106.120.173.129,1292
61.135.189.183,1292
106.120.173.78,1292
218.30.103.63,1292
218.30.103.58,1291
218.30.103.60,1291
218.30.103.47,1290
61.135.189.188,1290
106.120.173.159,1290
220.181.125.197,1290
106.120.173.117,1290
218.30.103.51,1290
220.181.125.178,1289
61.135.189.168,1289
106.120.173.138,1288
61.135.189.163,1288
220.181.125.174,1287
220.181.125.199,1287
220.181.125.201,1286
61.135.189.190,1286
218.30.103.218,1285
218.30.103.64,1285
61.135.189.181,1284
220.181.125.15,1284
106.120.173.156,1284
61.135.189.187,1283
61.135.189.177,1283
218.30.103.220,1282
218.30.103.66,1282
218.30.103.38,1282
220.181.125.13,1282
61.135.189.170,1281
218.30.103.214,1279
220.181.125.154,1279
61.135.189.165,1279
106.120.173.123,1278
218.30.103.44,1277
218.30.103.30,1277
106.120.173.90,1276
61.135.189.191,1276
220.181.125.194,1276
61.135.189.178,1276
61.135.189.161,1275
218.30.103.216,1271
218.30.103.215,1271
106.120.173.132,1270
199.30.20.2,1266
61.135.189.162,1266
218.30.103.53,1266
218.30.103.65,1265
220.181.125.155,1264
61.135.189.171,1261
113.139.236.70,1261
199.30.20.12,1260
220.181.125.162,1259
218.30.103.36,1259
218.30.103.61,1258
106.120.173.96,1257
220.181.125.169,1254
220.181.125.156,1252
114.250.73.241,1250
106.120.173.144,1248
199.30.20.3,1246
106.120.173.75,1245
131.253.24.11,1240
114.245.23.122,1235
223.98.217.241,1185
111.121.212.70,1180
118.122.95.191,1176
106.120.173.72,1174
113.98.254.137,1146
1.193.39.121,1123
113.225.224.171,1108
125.71.36.8,1065
61.163.163.81,1059
199.30.20.20,1056
222.222.52.82,1049
199.30.20.49,1031
199.30.20.27,1010
218.28.200.70,992
183.60.213.106,966
183.60.215.51,959
175.3.181.255,943
183.60.214.20,940
223.144.134.198,939
199.30.20.24,904
199.30.20.25,901
199.30.20.65,888
210.22.78.102,884
123.125.19.40,881
199.30.20.18,879
